id,title,year,episode,song,artists
251345,The Last Ship,2014.0,Its Not a Rumor (#2.3),The Last Ship End Credits Theme,james s. levine+jim dooley
473381,Homenaje a Plácido Domingo,2011.0,,Fiesta en la plazuela,pedro ricardo niño
19422,Australian Idol,2003.0,Top 6 Performance Show: Rock Swing (#4.27),Mustang Sally,bonny rice+dean geyer
664543,The Heart of a Man,1959.0,,Sometime  Somewhere,lionel bart+frankie vaughan
727537,Writers Block,2013.0,,Good News,quinn deveaux+the blue beat review
234383,Terminator: The Sarah Connor Chronicles,2008.0,Automatic for the People (#2.2),Aint We Famous,brendan mccreary
726881,Woodstock,1970.0,,Coming Into Los Angeles,arlo guthrie
324479,Zwei Männer am Herd,1999.0,Eine schwere Entscheidung (#2.1),Careless Whisper,wham!+george michael
276996,The Tonight Show with Jay Leno,1992.0,(#18.103),Cooler Than Me,mike posner+eric hölljes
424888,Eat with Me,2014.0,,MDV - English Rain,adam john pickering+paula marie walker+the daydream club
233414,Teen Titans Go!,2013.0,Serious Business (#2.18),Teen Titans Theme,andy sturmer+puffy amiyumi
676542,The Old Maid,1939.0,,Yankee Doodle,
69469,Development Hell,2013.0,Uno  Motherfucker! (#1.2),Midnight in America,the flip
628996,Stars in Your Eyes,1956.0,,Without You,edwin astley+albert elms+hazel astley+malcolm harvey+dorothy squires
472372,Hollywood Shuffle,1987.0,,Theres a Bat in My House,robert townsend
622885,Song of the Sea,2014.0,,Baidin Fheidhlimi,kila+liam hourican+karl odlum
308161,Ueki no hôsoku,2005.0,Daiyonji senkoku no housoku (#1.48),No Regret,kumi koda
361834,Be Cool,2005.0,,Santa Monica Man,victor taylor+dean hurley
541217,Millions,2004.0,,Nirvana,rojotua+loxatus+el bosco
398594,Coração de Luto,1967.0,,Saudades de Passo Fundo,teixeirinha
549383,My Big Fat Greek Wedding 2,2016.0,,Maria Sagapo,yiamas music
440129,Fires Within,1991.0,,Cuban National Anthem,pedro figueredo
265088,The Ren & Stimpy Show,1991.0,Robin Hoek/Nurse Stimpy (#1.2),Pizzicato Playtime,sam fonteyn
101878,Great Performances,1971.0,Kiss Me Kate (#31.9),Kiss Me Kate,cole porter+brent barrett+rachel york+ensemble
149635,Master of None,2015.0,Nashville (#1.6),Twin Peaks Theme,
199993,Sabrina  the Teenage Witch,1996.0,Thin Ice (#6.6),Sabrina End Theme,danny lux+paul taylor
268747,The Simpsons,1989.0,The Great Louse Detective (#14.6),The Way We Were,alan bergman+marilyn bergman+marvin hamlisch+sally stevens
726401,Woman They Almost Lynched,1953.0,,All My Life,sam h. stept
166533,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin+carole king+jerry wexler+camillia temple
403736,Dakota,1988.0,,Dakotas Theme,chris christian
413234,Di me cosa ne sai,2009.0,,Bla-bla bu-bu-bu,fred bongusto
408147,Dead in 5 Heartbeats,2013.0,,Sixteen,salih williams+latasha lee
163079,Mystery Science Theater 3000,1988.0,High School Big Shot (#7.18),Amazing Grace,john newton+peter b. dysart
176896,Packed to the Rafters,2008.0,Playing a Googly (#1.2),Slow,lisa mitchell
386430,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve+john kay+steppenwolf
17636,Atop the Fourth Wall,2008.0,Darker Image #1 (#3.12),Happy Happy Joy Joy,charlie brissette+john kricfalusi+chris reccardi .
670522,The Lion (Felis Leo),1948.0,,Bet Your Life Its Love,
190555,R.I.S. Police scientifique,2006.0,Sang froid (#4.10),Globe Trotter,guillaume roussel
471648,Hold That Ghost,1941.0,,The Blue Danube Waltz,johann strauss
195696,Rick and Morty,2013.0,Mortynight Run (#2.2),Rick and Morty Theme,ryan elder
190506,R.I.S. Police scientifique,2006.0,Mort suspecte (#6.6),Big Jet Plane,angus+julia stone+angus stone
424449,Earth to Echo,2014.0,,Your Friend,andy warren+colin dieden+david appelbaum+joshua hogan+kathryn earl+matthew di panni+spencer gongwer+the mowglis
101645,Gravity Falls,2012.0,The Legend of the Gobblewonker (#1.2),Twinkle  Twinkle  Little Star,jane taylor
416712,Disturbing Behavior,1998.0,,Hole In My Soul,matt caisley+ted hutt+hutt
35566,Bring on the Night,2012.0,(#1.1),Mire,dualist inquiry
249879,The Johnny Cash Show,1969.0,(#1.25),Brown-Eyed Handsome Man,chuck berry+waylon jennings
287362,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon+paul mccartney+rhydian roberts
79422,EastEnders: E20,2010.0,(#1.7),Teardrops,the xx
47706,Cold Case,2003.0,Shattered (#7.22),Beast Of Burden,mick jagger+keith richards+the rolling stones
97847,Glastonbury 2015,2015.0,Day 3: Part 1 (#1.17),Say You Say Me,lionel richie
732518,Zombie ja Kummitusjuna,1991.0,,HAAVEISIIN VAIPUNUT,
472940,Holy Smoke,1999.0,,Baby Its You,burt bacharach  / mack david  / barney williams+the shirelles+arrangement with celebrity licensing inc.
619850,Smosh: The Movie,2015.0,,Cold Love,marcus svedin
5365,90210,2008.0,That Which We Destroy (#1.11),Kaleidoscope Machine,katie costello+heather holley
599138,Rosenstrasse,2003.0,,Und wieder geht ein schöner Tag zu Ende,gerhard winkler
203813,Sawako no asa,2011.0,Mansai Nomura (#1.184),Tea for Two,irving caesar+vincent youmans+doris day
554327,Neil Diamond: The Thank You Australia Concert,1976.0,,Brother Loves Traveling Salvation Show,neil diamond+band
693290,There Was an Old Lady Who Swallowed a Fly,2002.0,,There Was an Old Lady Who Swallowed a Fly,cyndi lauper
435115,F-Zero GX,2003.0,,BIO REX,daiki kasho
273645,The Tonight Show Starring Jimmy Fallon,2014.0,Ryan Reynolds/Terrence Howard/Kelly Clarkson (#2.108),Dont You Want Me,phil oakey+jo callis+philip adrian wright+kelly clarkson+jimmy fallon
334697,A Moment in Time,2013.0,,You Are My Song,louie ocampo
41850,Canadian Idol,2003.0,Wildcard Performances (#2.14),What I Did for Love,marvin hamlisch+ed kleban+elena juatco
284455,The West Wing,1999.0,Holy Night (#4.11),Holy Night,the whiffenpoofs
668060,The Kill List,2007.0,,Sister Octane,arcweld
638669,Take Her  Shes Mine,1963.0,,Come  Landlord  Fill the Flowing Bowl,sandra dee+monica moran
699749,Too Many Parents,1936.0,,A Little White Gardenia,carl alfalfa switzer
216962,So You Think You Can Dance,2005.0,Top 10 Perform + Eliminations (#11.11),Disco Khisko,pritam chakraborty+jaideep sahni
495446,Junior Eurovision Song Contest 2003: The British Final,2003.0,,My Song For The World,tom morley
687624,The Third Wish,2005.0,,Bridal March,richard wagner
94538,Galavant,2015.0,The One True King (To Unite Them All) (#2.10),Will My Day Ever Come,alan menken+alfie simmons+timothy omundson
47468,Cold Case,2003.0,Honor (#3.8),Stranger In A Strange Land,billy preston+leon russell
116903,Idol,2002.0,(#1.12),One Way Ticket,jack keller+hank hunter+alicja janosz
289201,The Young and the Restless,1973.0,(#1.10829),Nadias Theme,barry de vorzon+perry botkin jr.
572934,Patti Smith: Dream of Life,2008.0,,The Jackson Song,patti smith+fred sonic smith
468337,Help?,1995.0,,Yankee Doodle,
240365,The Bugaloos,1970.0,Firefly  Light My Fire (#1.1),The Senses of Our World,the bugaloos
487570,It Came from the Sky,1999.0,,Strawberry Road,sam phillips
240424,The Calamities of Jane,2016.0,,Succeed 101,jason karaban
317701,Weltberühmt in Österreich - 50 Jahre Austropop,2006.0,Weltberühmt in der Welt - Internationale Erfolge des Austropop (#1.5),Heast as nit,hubert von goisern+wolfgang staribacher+hubert von goisern  und die alpinkatzen
368918,Black & White,1972.0,,Black & White,david arkin+earl robinson+sonny bono+cher
484476,In the Name of Love,2011.0,,Basang-Basa sa Ulan,
649808,The Black Facade,2009.0,,Fourth of July,jamie ewing+bent outta shape+ian pony boy campbell+ren khodzheyev+matthew skip callahan
6187,A Shot at Love with Tila Tequila,2007.0,A Full House (#2.2),Deadstock Rock,hazelden
248821,The IT Crowd,2006.0,Aunt Irma Visits (#1.6),The IT Crowd Theme,sid+the comeds
48449,Community,2009.0,Epidemiology (#2.6),Gimme! Gimme! Gimme! (A Man After Midnight),benny andersson+björn ulvaeus+abba
54648,Código postal,2006.0,(#1.186),CIERRA LOS OJOS,alejandro de la parra+eugenio siller
364119,Bel Ami,2012.0,,Ave Maria,franz schubert
190711,Rabbit Fall,2007.0,Welcome to Rabbit Fall (#1.1),Saskatoon Smile,jay semko
412993,Devons Ghost: Legend of the Bloody Boy,2005.0,,I Want You Now,onita l. bonner+don v. farrow
54278,Cuéntame,2001.0,La mano en el fuego (#10.15),Im Not In Love,graham gouldman+eric stewart+10cc
694722,This Is 40,2012.0,,Where Them Girls At,jared cotter+flo rida+nicki minaj+sandy vee+david guetta+juan salinas+oscar salinas+giorgio tuinfort+michael caren
509366,La tonta del bote,1970.0,,La tonta del bote,los pekenikes+lina morgan
312404,Verbotene Liebe,1995.0,(#1.3168),Für mich solls rote Rosen regnen,gabriele metzger
680833,The Real St. Nick,2012.0,,Heart Full Of Holly,jeff toyne+melissa r. kaplan
92281,Friday Night Lights,2006.0,A Sort of Homecoming (#4.4),Teardrop,josé gonzález
32568,Blues Clues,1996.0,Lets Boogie (#4.19),So Long Song,steven burns
552006,Nacho Libre,2006.0,,Ska Cha Chase,andrew gross
733790,À perte de vie... Jacques Prévert,1977.0,,Les Enfants qui sAiment,joseph kosma+cora vaucaire
561132,Nurse.Fighter.Boy,2008.0,,ONE WAY,vernon buckley
329694,38 Special: Live at Sturgis,1999.0,,Back In The U.S.A.,chuck berry+.38 special
298086,Tong yi wu yan xia,2003.0,,Angeline,ken chong
472457,Hollywood Singing and Dancing: A Musical History - The 1930s: Dancing Away the Great Depression,2009.0,,Inka Dinka Doo,jimmy durante
135438,Late Show with David Letterman,1993.0,(#18.136),Bigger Than Us,harry mcveigh+charles cave+jack lawrence-brown+white lies
458686,Great Romances of the 20th Century: Elizabeth Taylor and Richard Burton,1997.0,,Paulette,ivor slaney
380014,Bulworth,1998.0,,Holiday/12 Scanner,erin johnson+robert mcdowell+dwayne searcy+william e. butler+jerry butler+witchdoctor
722183,When the Sky Falls,2000.0,,Blockhead,
349241,And When Did You Last See Your Father?,2007.0,,Dont Ever Change,carole king+gerry goffin+the crickets
475280,Hot Tub Time Machine 2,2015.0,,Lost Boy,scott thomas/gmst
706507,U2: Rattle and Hum,1988.0,,Bullet The Blue Sky,music u2
687192,The Telephone,1988.0,,March of the Swiss Soldiers,gioachino rossini+whoopi goldberg
218456,Solid Gold,1980.0,(#5.20),Edge of a Dream (Theme from ,bryan adams+jim vallance+joe cocker
299207,Top of the Pops,1964.0,(1977-06-16),Halfway Down the Stairs,jerry nelson
64889,Degrassi: The Next Generation,2001.0,Whats My Age Again? (#11.4),People in the Hole,catherine feeny+catherine fenny
692860,The Young Poisoners Handbook,1995.0,,Nut Rocker,kim fowley
454006,God of War III,2010.0,,Stalker,cris velasco
658050,The Equalizer,2014.0,,Graven Image,zack hemsey
508906,La prima cosa bella,2010.0,,La prima cosa bella,mogol+reverberi+nicola di bari
204864,Screenplay,1986.0,Starlings (#3.10),Piano Concerto No.21: Allegro Vivace Assai,wolfgang amadeus mozart
598723,Rooftops,1989.0,,Revenge (Part II),eurythmics
685994,The Stone Roses Live: Blackpool Empress Ballroom,1991.0,,Mersey Paradise,the stone roses
323618,Yugio deyueru monsutazu,2000.0,Village of Vengeance: Part 3 (#5.27),EYES,yuichi ikusawa
468717,Herbstmilch,1989.0,,Kuckuckswalzer,johan emanuel jonasson
15052,Annie MG,2010.0,Hoofdstuk 5 (#1.5),Wat voor weer zou het zijn in Den Haag,harry bannink+malou gorter
163220,Mystery Science Theater 3000,1988.0,Monster A-Go Go (#5.21),John Jacob Jingleheimer Schmidt,trace beaulieu+joel hodgson+kevin murphy
401412,Cruisin Down the River,1953.0,,Father  Dear Father,henry clay work
267327,The Simpsons,1989.0,Bart the Lover (#3.16),Sabre Dance,aram khachaturyan
227961,Studio One,1948.0,The Road to Jericho (#3.9),Introduction from ,nikolai rimsky-korsakov
271218,The Tennessee Ernie Ford Show,1956.0,Brenda Lee (#5.19),Campdown Races,tennessee ernie ford+the top twenty
668982,The Last Days of Disco,1998.0,,Got to Have Loving,marc cerrone+raymond donnez
387458,Celtic Woman: Songs from the Heart,2009.0,,The Coast of Galiçia,celtic woman  )
16177,Army Wives,2007.0,After Action Report (#6.10),Army Wives Theme,marc fantini+steffan fantini+scott gordon
384277,Capital (Todo el mundo va a Buenos Aires),2007.0,,Time,paulo amorín+a+b
409105,Death Racers,2008.0,,Like It Like That,insane clown posse
659454,The Female Bunch,1971.0,,Two Lonely People,john gay+berry nighbert+bruce powers
115350,Hyouka,2012.0,,Kimi ni Matsuwaru Mystery,yasushi takada+satomi sato+ai kayano
46616,Cites,2015.0,Àngels - Dani i Gina - Marc (#2.10),Lose Your Way,marta aguilera
102910,Greys Anatomy,2005.0,I Like You So Much Better When Youre Naked (#6.12),Everybody,ingrid michaelson
364013,Being Considered,2000.0,,Bossa Nova Baby,derrick coonghe+dominic rablah+jed barry
352382,Arabian naito: Shindobaddo no bôken,1962.0,,Hitoribocchi no hime,isao tomita+yoshiko mari
337866,Aadhi Bhagavan,2013.0,,Bhagavan Rap Song,yuvan shankar raja+sathyan
160586,Munkaügyek,2012.0,Szombaton az irodában (#1.28),Brainstorming,szabolcs pál+malacka és a tahó
350764,Ano natsu no hi,1999.0,,Hamabe no uta (Song of the Seashore),narita tamezô+buckie shirakata+aloha hawaiians
722396,Where the Bullets Fly,1966.0,,Where the Bullets Fly,susan maughan+bob kingston
382274,Cadet Girl,1941.0,,Uncle Sam Gets Around,ralph rainger
670387,The Life of the Party,1937.0,,Roses in December,ben oakland
148032,Mako Mermaids,2013.0,Surprise! (#3.6),I Just Wanna Be,chantelle defina+jack dacy+pete dacy+matt beckley+david cameron
113044,Hot Off the Wire,1960.0,,Hot Off the Wire Theme,david rose
148650,Mama wa shôgaku yonensei,1992.0,Omoide wakuwaku! (#1.34),Kono Ai wo Mirai e,yasuo higuchi
334936,A Night in Old Mexico,2013.0,,Mexacali Rose,jack tenney+robert duvall
301287,Top of the Pops,1964.0,(1980-10-16),D.I.S.C.O.,ottawan
128580,Kidô senshi Z Gundam,1985.0,,Mizu no Hoshi e Ai wo Komete,hiroko moriguchi
659533,The Fifth Floor,1978.0,,In So Deep,vic thomas
203546,Saved by the Bell,1989.0,Drivers Education (#2.4),Saved by the Bell,michael damian+rich eames+scott gale+larry weir+tom weir
331000,9 Dead Gay Guys,2002.0,,Bring Me Your Cup,ub40
661166,The Game Plan,2007.0,,Feelin So Fly,randy crawford+toby mckeehan+chris stevens
120135,Independent Lens,1999.0,Imelda (#6.22),Ako Ay Pilipino,george canseco+kuh ledesma
391352,Christine,1983.0,,Little Bitty Pretty One,bobby day+thurston harris
138588,Life on Mars,2008.0,Tuesdays Dead (#1.6),Tuesdays Dead,cat stevens
130973,Kurt Olssons television,1987.0,(#1.4),Augustin,bo harry sandin+Åke gerhard+lars brandeby
76148,Dragon Ball: Doragon bôru,1986.0,Usagi oyabun no tokui-waza (#1.9),Makafushigi Adobenchâ!,takeshi ike+hiroki takahashi
619627,Smiley,1956.0,,Click go the Shears ,sung at the pub
224994,Star Trek: Voyager,1995.0,Renaissance Man (#7.24),Star Trek: Voyager - Main Title,jerry goldsmith+jay chattaway
618631,Sleepers,1996.0,,Bird Dance Beat,the trashmen+george garrett
328072,200 Cigarettes,1999.0,,Feliz Navidad,josé feliciano
626607,Spooner,2009.0,,Howayah,georg brandt egloff+i land on mars
444925,Freddie Steps Out,1946.0,,Patience and Fortitude,freddie stewart+blackie warren+billy moore jr.
321005,World Championship Snooker,1973.0,2014: Day 12  Part 2 (#42.63),Do I Wanna Know?,arctic monkeys
90879,Forsthaus Falkenau,1989.0,Ein Fahrradausflug (#7.1),Mamma mia dammi cento lire,folke paulsen
244755,The Fosters,2013.0,Clean (#1.8),Mountains,odessa rose
311044,Vanity Fair,1987.0,Miss Sharp and Miss Sedley Open the Campaign (#1.1),Thou Art Gone from My Gaze,george linley+rebecca saire
355747,Aventuras del barbero de Sevilla,1954.0,,Chanson de la montagne,luis mariano+mireille brocey+juan quintero
476139,How She Move,2007.0,,Jane & Finchin,the smugglaz+benson douglas+randy douglas
702175,Trattoria,2012.0,,Waiting,dave ricketts+gaucho
218794,Som Brasil,2007.0,Jovem Guarda (#6.2),Rua Augusta,hervê cordovil+stop play moon
410831,Depeche Mode: Strange Too,1990.0,,Clean,martin gore+depeche mode
659920,The First $20 Million Is Always the Hardest,2002.0,,La Cubanita,antoine santiago+jean molos+ramon campos+antonine contreras+los ninos de sara+arrangement with ocean park music group
378875,Bröderna Östermans bravader,1955.0,,Melody for Lovers,cecil milner
527494,Låt den rätte komma in,2008.0,,Stro Lite Rosor,sven helin+karl-ewert christenson+ego kjerrmans underhallningsorkester
529605,Madonna: Celebration - The Video Collection,2009.0,,Rain,madonna+shep pettibone
397048,Concert Magic,1948.0,,AVE MARIA  D.839,franz schubert+yehudi menuhin+adolph bailer
81717,Ellen: The Ellen DeGeneres Show,2003.0,Wanda Sykes/Journey/Stephen tWitch Boss (#13.153),Todays the Day,pink
123397,Jam & Jerusalem,2006.0,Ladies in Lavender (#3.6),The White Cockade,kate rusby+john mccusker+ian carr+ewen vernal+andy cutting
581028,Portraits chinois,1996.0,,Que je laime,gilles thibault+jean renard
320844,Workaholics,2011.0,Meth Head Actor (#6.2),Jock Box,the skinny boys
629246,State of Bacon,2014.0,,Ohhhh Bacon,tom the bacon godfather porter
127895,Keen Eddie,2003.0,Who Wants to Be in a Club That Would Have Me as a Member? (#1.11),Scarecrow,rebelski
217974,So You Think You Can Dance,2005.0,Two of 10 Voted Off (#5.17),Already Gone,kelly clarkson+ryan tedder
258843,The O.C.,2003.0,The Third Wheel (#1.15),Burn Baby Burn,tim wheeler+ash
502354,Kiss of the Damned,2012.0,,Stars Are Moving,miles whittaker+sean canty
454453,Going the Distance,2010.0,,Pick It Up,ali dee+aaron jacob sandlofer+julian davis+joey katsaros+lp+jose fuego
453007,Glee: Directors Cut Pilot Episode,2009.0,,I Kissed a Girl,katy perry+lukasz gottwald+max martin+cathy dennis+jenna ushkowitz
16480,Arrested Development,2003.0,Queen B. (#4.10),Arrested Development,david schwartz
28755,Belíssima,2005.0,,Quelquun Ma Dit,carla bruni
73430,Dolly,1987.0,(#1.22),Applejack,dolly parton
302044,Top of the Pops,1964.0,(1985-12-25),We Are the World,michael jackson+lionel richie+usa for africa
221928,SpongeBob SquarePants,1999.0,Grandmas Kisses/Squidville (#2.6),In the Cradle (a),dick walter
546747,Mr. Klein,1976.0,,VENEZ DONC CHEZ MOI JE VOUS INVITE,
461302,Gypsy,1962.0,,You Gotta Have a Gimmick,jule styne+roxanne arlen+betty bruce+faith dane
446167,Friendship!,2010.0,,Blinded By The Light,bruce springsteen+manfred manns earth band
392864,City for Conquest,1940.0,,Lullaby of Broadway,harry warren
56129,Dance Moms,2011.0,Bye Bye Baby (#3.9),Get Back Up,elaine faye
708948,Undiscovered,2005.0,,Undiscovered,ashlee simpson+john m. shanks
14018,Animaniacs,1993.0,Cute First (Ask Questions Later)/Acquaintances/Here Comes Attila/Boo Wonder (#5.3),Carmen - Chanson Du Toreador (uncredited),georges bizet
231529,TV Land Confidential,2005.0,Music (#2.6),The Way You Do the Things You Do,smokey robinson+bobby rogers+the temptations
91091,Fraggle Rock,1983.0,Boobers Quiet Day (#2.23),The Gypsy Song (I Sniff the Rose),philip balsam+b.p. nichol+dave goelz
702732,Tribalistas,2002.0,,Já Sei Namorar,arnaldo antunes+carlinhos brown+marisa monte+tribalistas
81339,Elena of Avalor,2016.0,A Day to Remember (#1.9),Festival of Love,john kavanaugh+aimee carrero+emiliano díez+laura dickinson+rudy cardenas+baraka may+greg whipple
536928,Medium Straight,1988.0,,Medium Straight,rick mckim
587639,Race Street,1948.0,,Im in a Jam with Baby,ray heindorf+m.k. jerome+gale robbins
722686,While You Were Sleeping,1995.0,,MERRY MERRY CHRISTMAS,koko taylor
721575,When Elephants Were Young,2016.0,,Running Up That Hill,kate bush+placebo
462855,Hamlet 2,2008.0,,La Chipapenecas,jeremy sweet+marc ferrari+joaquin rodriguez+jose ramierz+stephanie amaro+nelly cortez+suemy gonzalez+francisco javier juarequi+fernando velozque
407416,De wolf en zijn zeven dochters,1964.0,,Ja  Geloof Me  Meneer,
715108,Volverte a ver,2008.0,,Hopeless,kt tunstall
115806,I Love the 80s,2002.0,1984 (#1.5),Hello,lionel richie
514280,Lean on Me,1989.0,,WELCOME TO THE JUNGLE,guns n roses+arrangement with warner special products+slash+axl rose+steven adler+izzy stradlin+duff mckagan
726756,Wonderland,1999.0,,Runaground,tim booth+jim glennie+david baynton-power+james
257193,The Mysteries of Laura,2014.0,The Mystery of the Intoxicated Intern (#1.17),Burn it Down,chantal claret+mher filian
666657,The Informative Adventures of Joe Average,2008.0,,Do Wacko Do,roger miller+paul whiteman+his orchestra
430621,Enchanted,2007.0,,Mickey Makes a Bargain,paul j. smith
651571,The Brothers Warner,2007.0,,Merrily We Roll Along,murray mencher
564521,Olé,2006.0,,Torero,nicola salerno+renato carosone
40040,Cachito de cielo,2012.0,Tristán pierde la paciencia (#1.98),Cachito de cielo,pedro fernández
151313,Memòries de la tele,2007.0,(#2.12),La calma de la mar,marina rossell
633136,Stutter,2012.0,,Stutter,miles arntzen+emefe
138246,Lie to Me,2009.0,Secret Santa (#2.8),Santa Baby,eartha kitt
